Name,Industry,Revenue,Profit,Employees,Headquarters
Amazon,RetailInformation technology,716.0,79.9,1576000.0,United States
Walmart,Retail,713.0,21.8,2100000.0,
State Grid Corporation of China,Electricity,545.0,9.2,1361423.0,China
Saudi Aramco,Oil and gas,480.0,106.0,73311.0,Saudi Arabia
Apple,Information technology,416.0,112.0,166000.0,United States
Alphabet,Information technology,402.0,132.0,190820.0,
UnitedHealth Group,Healthcare,400.0,14.4,400000.0,
Berkshire Hathaway,Financials,371.0,88.9,392400.0,
CVS Health,Healthcare,357.0,8.3,259500.0,
Volkswagen Group,Automotive,348.0,17.9,684025.0,Germany
ExxonMobil,Oil and gas,344.0,36.0,61500.0,United States
Vitol,Commodities,331.0,13.0,1560.0,Switzerland
Shell,Oil and gas,323.0,19.3,103000.0,United Kingdom
China State Construction Engineering,Construction,320.0,4.2,382894.0,China
Toyota,Automotive,312.0,34.2,380793.0,Japan
McKesson,Healthcare,308.0,3.0,48000.0,United States
Microsoft,Information technology,281.0,101.0,228000.0,
Cencora,Healthcare,262.0,1.7,44000.0,
Trafigura,Commodities,244.0,7.3,12479.0,Singapore
Costco,Retail,242.0,6.2,316000.0,United States
JPMorgan Chase,Financials,239.0,49.5,309926.0,
TotalEnergies,Oil and gas,218.0,21.3,102579.0,France
Glencore,Commodities,217.0,4.2,83426.0,Switzerland
Nvidia,Semiconductors,215.0,120.0,36000.0,United States
BP,Oil and gas,213.0,15.2,79400.0,United Kingdom
Cardinal Health,Healthcare,205.0,0.26,47520.0,United States
Stellantis,Automotive,204.0,20.1,258275.0,Netherlands
Chevron,Oil and gas,200.0,21.3,45600.0,United States
China Construction Bank,Financials,199.0,46.9,376871.0,China
Samsung Electronics,Electronics,198.0,11.0,267860.0,South Korea
Cigna,Healthcare,195.0,5.1,71413.0,United States
Agricultural Bank of China,Financials,192.0,38.0,451003.0,China
Schwarz Gruppe,Retail,180.0,16.9,595000.0,Germany
China Railway Engineering Corporation,Construction,178.0,2.1,314149.0,China
Cargill,Conglomerate,177.0,17.6,160000.0,United States
Ford Motor Company,Automotive,176.0,4.3,177000.0,
Bank of China,Financials,172.0,32.7,306931.0,China
General Motors,Automotive,171.0,10.1,163000.0,
Elevance Health,Healthcare,171.0,5.9,104900.0,
BMW Group,Automotive,168.0,12.2,154950.0,Germany
Mercedes-Benz Group,Automotive,165.0,15.4,166056.0,Germany
Meta Platforms,Social media,164.0,62.3,78450.0,United States
China Railway Construction Corporation,Construction,160.0,1.7,336433.0,China
Baowu,Steel,157.0,2.4,258697.0,
Citigroup,Financials,156.0,9.2,237925.0,United States
